#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631723311,896820,86615948,140.30.20.1,1,60,86579296,86579296,0,0,152.148.48.5,140.30.20.165,0.0.0.0,1168,1168,39978,80,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86580996,86580996,0,0,140.30.20.165,152.148.48.5,140.30.20.2,1168,1168,80,40376,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86582088,86582088,0,0,140.30.20.165,152.148.48.5,140.30.20.2,1168,1168,80,40778,6,0,18,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,2,168,86580996,86582088,0,0,140.30.20.3,140.30.20.165,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86583168,86583168,0,0,140.30.20.165,152.148.48.5,140.30.20.2,1168,1168,80,41170,6,0,16,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86583944,86583944,0,0,140.30.20.165,152.148.48.5,140.30.20.2,1168,1168,80,41566,6,0,16,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86585368,86585368,0,0,152.148.48.4,140.30.20.53,0.0.0.0,1168,1168,59944,443,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86585868,86585868,0,0,152.148.48.4,140.30.20.53,0.0.0.0,1168,1168,60342,443,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86586488,86586488,0,0,152.148.48.5,140.30.20.165,0.0.0.0,1168,1168,42776,80,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86587076,86587076,0,0,152.148.48.4,140.30.20.53,0.0.0.0,1168,1168,32906,443,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86588172,86588172,0,0,152.148.48.4,140.30.20.53,0.0.0.0,1168,1168,33306,443,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86588804,86588804,0,0,152.148.48.4,140.30.20.53,0.0.0.0,1168,1168,33704,443,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86589860,86589860,0,0,140.30.20.53,152.148.48.4,140.30.20.2,1168,1168,443,34112,6,0,16,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86590660,86590660,0,0,140.30.20.70,152.148.48.7,140.30.20.2,1168,1168,443,33378,6,0,16,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,478,86591148,86591148,0,0,140.30.20.70,152.148.48.7,140.30.20.2,1168,1168,443,33782,6,0,24,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86591892,86591892,0,0,152.148.48.7,140.30.20.70,0.0.0.0,1168,1168,34186,443,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,364,86592992,86592992,0,0,140.30.20.70,152.148.48.7,140.30.20.2,1168,1168,443,34578,6,0,24,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86593644,86593644,0,0,152.148.48.7,140.30.20.70,0.0.0.0,1168,1168,34986,443,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86594572,86594572,0,0,140.30.20.70,152.148.48.7,140.30.20.2,1168,1168,443,35388,6,0,18,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86595528,86595528,0,0,140.30.20.94,152.148.48.6,140.30.20.2,1168,1168,443,38966,6,0,18,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86596020,86596020,0,0,140.30.20.94,152.148.48.6,140.30.20.2,1168,1168,443,39354,6,0,16,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,2,176,86594572,86596616,0,0,140.30.20.3,140.30.20.70,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86596616,86596616,0,0,140.30.20.70,152.148.48.7,140.30.20.2,1168,1168,443,36590,6,0,18,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,60,86597184,86597184,0,0,152.148.48.6,140.30.20.94,0.0.0.0,1168,1168,40166,443,6,0,2,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86597636,86597636,0,0,140.30.20.94,152.148.48.6,140.30.20.2,1168,1168,443,40470,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86598520,86598520,0,0,152.148.48.6,140.30.20.94,0.0.0.0,1168,1168,40962,443,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86599156,86599156,0,0,140.30.20.94,152.148.48.6,140.30.20.2,1168,1168,443,41362,6,0,17,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,3,248,86595528,86599156,0,0,140.30.20.3,140.30.20.94,0.0.0.0,65535,1168,0,1281,1,192,0,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,347,86600388,86600388,0,0,140.30.20.94,152.148.48.6,140.30.20.2,1168,1168,443,41764,6,0,24,0,0,0,0,1
1631723311,896820,86615948,140.30.20.1,1,52,86600900,86600900,0,0,152.148.48.9,140.30.20.164,0.0.0.0,1168,1168,37140,443,6,0,17,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86601500,86601500,0,0,152.148.48.6,140.30.20.94,0.0.0.0,1168,1168,42562,443,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86601960,86601960,0,0,152.148.48.9,140.30.20.164,0.0.0.0,1168,1168,37946,443,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,52,86602324,86602324,0,0,140.30.20.53,152.148.48.4,140.30.20.2,1168,1168,443,41302,6,0,16,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,368,86603292,86603292,0,0,140.30.20.164,152.148.48.9,140.30.20.2,1168,1168,443,38740,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,355,86604256,86604256,0,0,140.30.20.164,152.148.48.9,140.30.20.2,1168,1168,443,39144,6,0,24,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,60,86605320,86605320,0,0,152.148.48.9,140.30.20.164,0.0.0.0,1168,1168,39550,443,6,0,2,0,0,0,0,1
1631723331,388843,86635440,140.30.20.1,1,489,86605816,86605816,0,0,140.30.20.126,152.148.48.8,140.30.20.2,1168,1168,80,40584,6,0,24,0,0,0,0,1
