dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,2888,215,215,82,52188,6,0,16,0
1,52,215,215,52188,443,6,0,16,0
1,1492,215,215,436,51002,6,0,16,0
1,52,215,215,34942,443,6,0,16,0
1,40,215,215,51732,443,6,0,16,0
1,59,215,215,38577,53,17,0,0,0
1,52,215,215,53418,443,6,0,16,0
1,52,215,215,56272,443,6,0,16,0
1,1440,215,215,464,57466,6,0,16,0
1,52,215,215,42670,443,6,0,16,0
2,104,215,215,53292,443,6,0,16,0
1,52,215,215,501,56892,6,0,16,0
1,60,215,215,36678,443,6,0,2,0
1,52,215,215,36680,443,6,0,17,0
1,1372,215,215,227,36666,6,0,16,0
1,91,215,215,56892,443,6,0,24,0
1,52,215,215,32836,443,6,0,17,0
1,80,65535,215,0,1281,1,192,0,0
1,87,215,215,57466,443,6,0,24,0
1,52,215,215,443,57252,6,32,17,0
1,52,215,215,45866,443,6,0,16,0
1,4372,215,215,56,45866,6,32,16,0
1,2888,215,215,173,44208,6,0,16,0
1,52,215,215,44208,443,6,0,16,0
1,754,215,215,193,33500,6,0,24,0
1,1492,215,215,82,57466,6,0,16,0
1,1440,215,215,209,56272,6,0,16,0
1,155,215,215,447,54020,17,0,0,0
2,104,215,215,34160,443,6,0,16,0
1,52,215,215,408,38108,6,0,16,0
1,266,215,215,54426,443,6,0,24,0
1,52,215,215,46740,443,6,0,16,0
1,60,215,215,37132,80,6,0,2,0
1,52,215,215,35678,443,6,0,16,0
1,1492,215,215,253,35678,6,0,16,0
1,1470,215,215,398,52998,6,0,16,0
1,52,215,215,43638,443,6,0,16,0
1,52,215,215,43652,443,6,0,16,0
1,1492,215,215,102,43652,6,0,16,0
1,252,215,215,57596,443,6,0,24,0
1,52,215,215,49436,443,6,0,16,0
1,1492,215,215,124,49454,6,0,16,0
1,52,215,215,49452,443,6,0,16,0
1,118,215,215,107,43124,6,0,24,0
1,52,215,215,54424,443,6,0,16,0
1,1492,215,215,220,54424,6,32,16,0
1,83,215,215,52698,443,6,0,24,0
1,52,215,215,52484,443,6,0,16,0
1,52,215,215,49458,443,6,0,16,0
1,58,215,215,50570,53,17,0,0,0
1,52,215,215,53748,443,6,0,16,0
1,52,215,215,45310,80,6,0,16,0
1,40,215,215,8080,45164,6,0,4,0
1,52,215,215,45882,443,6,0,16,0
1,40,215,215,51396,80,6,0,16,0
1,52,215,215,59336,8080,6,0,17,0
1,80,65535,215,0,1281,1,192,0,0
1,79,215,215,50896,443,6,0,24,0
1,91,215,215,33554,443,6,0,24,0
1,1492,215,215,273,53816,6,0,16,0
1,52,215,215,49066,443,6,0,16,0
1,1492,215,215,281,49066,6,0,16,0
1,52,215,215,59406,443,6,0,16,0
1,52,215,215,164,42678,6,0,16,0
1,1470,215,215,226,59406,6,0,24,0
1,188,215,215,52932,443,6,0,24,0
1,90,215,215,42422,443,6,0,24,0
1,52,215,215,34910,443,6,0,16,0
1,52,215,215,34440,443,6,0,16,0
1,1492,215,215,456,43914,6,0,16,0
1,52,215,215,58194,443,6,0,16,0
1,834,215,215,388,58194,6,32,24,0
1,1820,215,215,395,37864,6,0,24,0
1,1771,215,215,275,40568,6,0,24,0
1,141,215,215,42070,443,6,0,24,0
1,52,215,215,210,37268,6,32,16,0
1,83,215,215,35000,443,6,0,24,0
1,52,215,215,395,37864,6,0,17,0
2,2984,215,215,465,55422,6,32,16,0
1,52,215,215,385,57308,6,0,16,0
1,4372,215,215,420,46602,6,32,16,0
1,185,215,215,59,53862,17,0,0,0
2,135,215,215,48774,443,6,0,24,0
