dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
2,2984,215,215,436,52056,6,0,16,0
1,2932,215,215,401,37682,6,0,16,0
1,52,215,215,50714,443,6,0,16,0
1,1492,215,215,231,50714,6,0,16,0
1,52,215,215,55744,443,6,0,16,0
1,83,215,215,36230,443,6,0,24,0
2,2984,215,215,2,43740,6,32,16,0
1,52,215,215,36188,443,6,0,16,0
1,52,215,215,56456,443,6,0,16,0
1,83,215,215,491,48570,6,0,24,0
1,52,215,215,33576,443,6,0,16,0
1,1470,215,215,274,33576,6,0,16,0
1,52,215,215,41782,443,6,0,16,0
1,1372,215,215,460,44370,6,0,16,0
1,52,215,215,306,45858,6,0,16,0
1,52,215,215,53336,443,6,0,16,0
1,1448,215,215,481,53336,6,0,16,0
1,60,215,215,443,60142,6,0,18,0
1,52,215,215,80,44534,6,0,17,0
1,1372,215,215,460,44370,6,0,16,0
1,114,215,215,1013,55784,6,0,24,0
1,52,215,215,147,34260,6,0,16,0
1,4372,215,215,36,43680,6,0,16,0
1,52,215,215,54788,443,6,0,16,0
2,2984,215,215,334,51252,6,0,16,0
1,52,215,215,40766,443,6,0,16,0
1,52,215,215,60552,443,6,0,16,0
1,2888,215,215,445,54788,6,0,24,0
2,2984,215,215,176,50684,6,0,16,0
1,1492,215,215,296,54642,6,0,16,0
1,217,215,215,56462,443,6,0,24,0
1,52,215,215,45076,443,6,0,16,0
1,52,215,215,57760,443,6,0,16,0
1,40,215,215,443,42064,6,0,17,0
1,52,215,215,54642,443,6,0,16,0
1,76,215,215,48872,443,6,0,24,0
1,676,215,215,853,56070,6,0,24,0
1,52,215,215,47270,443,6,0,16,0
1,1492,215,215,146,47270,6,32,16,0
1,52,215,215,319,56074,6,0,16,0
1,4012,215,215,388,37402,6,0,16,0
1,52,215,215,308,34662,6,0,16,0
1,104,215,215,40890,587,6,0,24,0
2,2984,215,215,218,53260,6,0,16,0
1,2888,215,215,305,55440,6,0,24,0
1,1470,215,215,305,55440,6,0,16,0
1,569,215,215,38916,443,6,0,24,0
1,52,215,215,43236,443,6,0,16,0
1,52,215,215,54426,443,6,0,17,0
1,80,65535,215,0,1281,1,192,0,0
1,52,215,215,54446,443,6,0,16,0
1,222,215,215,46068,443,6,0,24,0
1,52,215,215,48106,443,6,0,16,0
1,52,215,215,58496,443,6,0,16,0
1,52,215,215,34014,443,6,0,16,0
1,2888,215,215,117,57752,6,0,24,0
1,1492,215,215,398,43236,6,0,16,0
1,2692,215,215,187,34764,6,32,16,0
1,60,215,215,37980,443,6,0,2,0
1,1470,215,215,321,52098,6,0,16,0
1,52,215,215,53976,443,6,0,16,0
1,60,215,215,52642,80,6,0,2,0
1,52,215,215,52636,80,6,0,16,0
1,1492,215,215,310,47124,6,0,16,0
1,52,215,215,47126,443,6,0,16,0
1,452,215,215,160,48760,6,0,24,0
1,80,65535,215,0,1281,1,192,0,0
1,52,215,215,52646,80,6,0,17,0
1,1470,215,215,448,45510,6,0,16,0
1,52,215,215,41564,443,6,0,16,0
1,1470,215,215,495,52238,6,0,24,0
1,52,215,215,443,59656,6,0,17,0
1,52,215,215,37834,443,6,0,16,0
1,52,215,215,388,45108,6,0,16,0
1,40,215,215,35662,443,6,0,4,0
1,91,215,215,110,42074,6,0,24,0
1,80,215,215,40812,587,6,0,24,0
2,3533,215,215,108,45362,6,0,24,0
1,52,215,215,57998,443,6,0,16,0
1,68,65535,215,0,1281,1,192,0,0
1,40,215,215,56328,443,6,0,4,0
1,52,215,215,35652,443,6,0,16,0
1,1492,215,215,153,48646,6,32,16,0
1,52,215,215,284,40868,6,0,16,0
1,1492,215,215,130,44568,6,0,16,0
1,1492,215,215,406,44574,6,0,16,0
1,52,215,215,44574,443,6,0,16,0
1,52,215,215,42528,443,6,0,16,0
1,52,215,215,243,56698,6,32,16,0
1,52,215,215,56692,443,6,0,16,0
2,5384,215,215,272,56692,6,0,16,0
1,435,215,215,179,37118,6,0,24,0
1,1492,215,215,222,52408,6,0,16,0
1,1470,215,215,301,48920,6,0,16,0
1,73,215,215,40182,587,6,0,24,0
1,178,215,215,44898,443,6,0,24,0
1,1492,215,215,378,46272,6,0,16,0
1,384,215,215,55248,443,6,0,24,0
1,52,215,215,40400,443,6,0,16,0
1,40,215,215,45714,443,6,0,16,0
1,52,215,215,54054,443,6,0,16,0
1,1492,215,215,495,45488,6,32,16,0
1,52,215,215,509,42252,6,32,16,0
1,52,215,215,68,34576,6,0,16,0
1,1470,215,215,358,46728,6,0,16,0
1,52,215,215,40716,443,6,0,16,0
1,52,215,215,45194,443,6,0,16,0
1,1492,215,215,97,45194,6,0,16,0
1,155,215,215,350,39198,6,0,24,0
1,52,215,215,45024,443,6,0,16,0
2,2744,215,215,347,47766,6,0,16,0
1,60,215,215,53690,443,6,0,2,0
1,52,215,215,33270,8080,6,0,16,0
1,1470,215,215,438,46828,6,0,16,0
1,91,215,215,59648,443,6,0,24,0
1,52,215,215,350,37154,6,0,16,0
1,1492,215,215,239,40686,6,0,16,0
1,437,215,215,40696,443,6,0,24,0
1,1470,215,215,46,35064,6,0,16,0
1,52,215,215,108,44706,6,0,16,0
1,228,215,215,506,48138,17,0,0,0
1,1492,215,215,359,47162,6,0,16,0
1,229,215,215,35508,443,6,0,24,0
1,1470,215,215,391,54936,6,0,16,0
1,7868,215,215,329,46152,6,0,24,0
1,40,215,215,46142,80,6,0,16,0
1,40,215,215,46160,80,6,0,16,0
1,52,215,215,35034,443,6,0,16,0
1,52,215,215,55872,443,6,0,16,0
1,52,215,215,58036,443,6,0,16,0
1,1470,215,215,167,58036,6,0,16,0
1,52,215,215,60914,443,6,0,16,0
2,104,215,215,46024,443,6,0,16,0
1,2888,215,215,244,51706,6,0,16,0
1,52,215,215,39496,443,6,0,16,0
2,2940,215,215,359,40806,6,0,16,0
1,52,215,215,45740,443,6,0,16,0
1,52,215,215,46972,443,6,0,16,0
3,4344,215,215,301,45740,6,0,16,0
1,52,215,215,46974,443,6,0,16,0
1,374,215,215,59548,443,6,0,24,0
1,76,215,215,293,34776,6,0,24,0
1,52,215,215,41438,443,6,0,16,0
1,52,215,215,41456,443,6,0,16,0
1,1492,215,215,100,41456,6,32,16,0
1,1492,215,215,80,56064,6,0,16,0
1,1492,215,215,243,40108,6,32,16,0
1,80,65535,215,0,1281,1,192,0,0
1,52,215,215,56064,443,6,0,17,0
2,2940,215,215,104,40374,6,0,16,0
1,2622,215,215,197,43528,6,0,24,0
1,1492,215,215,162,47960,6,32,16,0
1,52,215,215,47960,443,6,0,16,0
2,1553,215,215,398,42072,6,0,24,0
1,118,215,215,357,44774,6,32,24,0
2,2744,215,215,63,44756,6,0,16,0
1,52,215,215,443,44810,6,32,17,0
1,951,215,215,321,41284,6,32,24,0
1,1470,215,215,387,36748,6,0,16,0
1,91,215,215,190,49060,6,0,24,0
1,52,215,215,57064,443,6,0,16,0
1,52,215,215,52366,443,6,0,16,0
1,52,215,215,60724,443,6,0,16,0
1,68,65535,215,0,1281,1,192,0,0
1,40,215,215,39718,443,6,0,4,0
1,57,215,215,80,40124,6,0,24,0
2,104,215,215,56928,443,6,0,16,0
1,1482,215,215,402,47432,6,0,24,0
1,1492,215,215,223,56928,6,0,16,0
1,91,215,215,34406,443,6,0,24,0
1,1588,215,215,340,38340,6,24,24,0
1,2932,215,215,506,54050,6,0,16,0
2,2093,215,215,321,34756,6,0,24,0
1,52,215,215,40126,443,6,0,16,0
1,116,215,215,44796,443,6,0,24,0
1,52,215,215,42990,443,6,0,16,0
1,52,215,215,46066,443,6,0,16,0
1,52,215,215,443,37730,6,0,17,0
1,1492,215,215,158,45680,6,0,16,0
1,1492,215,215,321,34756,6,0,16,0
1,98,215,215,51026,443,6,0,24,0
1,91,215,215,379,52054,6,0,24,0
1,249,215,215,158,45680,6,0,24,0
