dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,52,215,215,34394,443,6,0,16,0
4,264,215,215,34390,443,6,0,16,0
3,188,215,215,34396,443,6,0,16,0
1,52,215,215,34392,443,6,0,16,0
2,116,215,215,34388,443,6,0,16,0
9,13050,215,215,322,34390,6,0,16,0
3,4350,215,215,406,34394,6,0,16,0
1,76,215,215,44686,443,6,0,24,0
1,2932,215,215,50,51302,6,0,16,0
1,81,215,215,50070,53,17,0,0,0
1,1184,215,215,169,57614,6,0,24,0
1,2888,215,215,357,42282,6,0,16,0
1,1470,215,215,436,48322,6,0,16,0
1,83,215,215,83,36008,6,0,24,0
1,1492,215,215,228,40686,6,0,16,0
1,52,215,215,42058,443,6,0,16,0
1,52,215,215,51034,443,6,0,16,0
1,91,215,215,37802,443,6,0,24,0
1,1492,215,215,65,48900,6,0,16,0
1,1206,215,215,323,48884,6,0,24,0
1,1492,215,215,106,48896,6,0,16,0
1,52,215,215,37802,443,6,0,17,0
1,80,65535,215,0,1281,1,192,0,0
1,52,215,215,311,38996,6,0,16,0
1,1450,215,215,406,34394,6,0,16,0
1,1450,215,215,493,34396,6,0,16,0
1,52,215,215,39536,80,6,0,16,0
2,4424,215,215,102,41270,6,32,16,0
1,1470,215,215,461,52994,6,0,24,0
1,52,215,215,281,47114,6,0,16,0
1,2734,215,215,363,41402,6,0,24,0
1,1450,215,215,493,34396,6,0,16,0
1,91,215,215,47106,443,6,0,24,0
1,938,215,215,357,38406,6,0,24,0
1,1492,215,215,268,53024,6,0,16,0
2,104,215,215,36634,443,6,0,16,0
1,1492,215,215,159,52038,6,0,16,0
2,104,215,215,52048,443,6,0,16,0
1,1470,215,215,384,49712,6,0,16,0
1,83,215,215,61,54160,6,0,24,0
1,672,215,215,34384,443,6,0,24,0
1,2372,215,215,467,42424,6,0,24,0
1,569,215,215,59174,993,6,0,24,0
1,1492,215,215,394,36798,6,0,16,0
2,2984,215,215,425,36470,6,0,16,0
1,230,215,215,59076,443,6,0,24,0
1,239,215,215,43444,443,6,0,24,0
1,1492,215,215,278,35176,6,0,16,0
1,52,215,215,35176,443,6,0,16,0
1,4306,215,215,21,47116,6,0,16,0
1,4372,215,215,345,55496,6,32,16,0
1,2932,215,215,42,44368,6,0,16,0
1,2932,215,215,509,45770,6,0,16,0
1,87,215,215,37194,443,6,0,24,0
1,52,215,215,40406,443,6,0,16,0
1,40,215,215,39674,443,6,0,16,0
1,1470,215,215,302,35638,6,0,16,0
1,222,215,215,56094,443,6,0,24,0
1,2888,215,215,437,45884,6,0,24,0
1,52,215,215,53098,443,6,0,16,0
1,52,215,215,443,43958,6,0,17,0
1,52,215,215,57616,443,6,0,16,0
1,52,215,215,42984,443,6,0,16,0
1,1470,215,215,355,43570,6,0,16,0
1,342,215,215,163,41688,6,0,24,0
1,52,215,215,683,42332,6,0,16,0
1,1495,215,215,244,36170,6,0,24,0
1,52,215,215,358,53676,6,0,16,0
1,91,215,215,46,56930,6,0,24,0
1,1492,215,215,100,35922,6,32,16,0
