dpkts,doctets,engine_type,engine_id,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,1480,0,0,35,35,323,38712,6,0,16,0
1,52,0,0,35,35,47824,443,6,0,16,0
1,1480,0,0,35,35,221,60496,6,0,16,0
1,1480,0,0,35,35,427,58934,6,0,16,0
1,1083,0,0,35,35,140,55990,6,0,24,0
1,1452,0,0,35,35,204,38976,6,0,16,0
1,1480,0,0,35,35,459,32816,6,0,16,0
1,1452,0,0,35,35,301,60260,6,0,16,0
1,1452,0,0,35,35,210,39844,6,0,16,0
1,341,0,0,35,35,53288,443,6,0,24,0
1,1480,0,0,35,35,337,37806,6,0,16,0
1,1452,0,0,35,35,172,54190,6,0,24,0
1,129,0,0,35,35,25,60160,6,0,24,0
1,264,0,0,35,35,128,54532,6,0,24,0
1,68,0,0,35,35,27520,53171,17,0,0,0
1,1452,0,0,35,35,430,39032,6,0,16,0
1,1480,0,0,35,35,407,57260,6,0,16,0
1,52,0,0,35,35,40482,443,6,0,16,0
1,52,0,0,35,35,54836,443,6,0,16,0
1,52,0,0,35,35,44610,443,6,0,16,0
1,1480,0,0,35,35,507,33328,6,0,16,0
1,341,0,0,35,35,60168,443,6,0,24,0
1,92,0,0,35,35,48334,443,6,0,24,0
1,288,0,0,35,35,273,46672,6,0,24,0
2,227,0,0,35,35,60150,443,6,0,24,0
1,289,0,0,35,35,17,60150,6,0,24,0
1,56,0,0,35,35,35735,10000,17,0,0,0
1,175,0,0,35,35,36458,443,6,0,24,0
1,1452,0,0,35,35,183,36458,6,0,16,0
1,52,0,0,35,35,35052,443,6,0,16,0
1,176,0,0,35,35,58186,443,6,0,24,0
1,56,0,0,35,35,51294,10000,17,0,0,0
1,52,0,0,35,35,293,54482,6,0,16,0
1,1480,0,0,35,35,86,46222,6,0,16,0
1,1385,0,0,35,35,441,50657,17,0,0,0
1,1452,0,0,35,35,355,40180,6,0,16,0
1,52,0,0,35,35,54262,443,6,0,16,0
1,80,0,0,65535,35,0,1281,1,192,0,0
1,52,0,0,35,35,443,56588,6,0,17,0
1,98,0,0,35,35,380,49928,6,0,24,0
1,175,0,0,35,35,49928,443,6,0,24,0
1,302,0,0,35,35,343,35062,6,0,24,0
1,1480,0,0,35,35,436,58024,6,0,16,0
1,1452,0,0,35,35,101,40460,6,0,16,0
1,52,0,0,35,35,37156,443,6,0,16,0
2,2410,0,0,35,35,189,57734,6,0,24,0
1,136,0,0,35,35,7710,52983,17,0,0,0
1,176,0,0,35,35,37538,443,6,0,24,0
1,109,0,0,35,35,320,59644,6,0,24,0
1,1452,0,0,35,35,248,36866,6,0,16,0
1,1480,0,0,35,35,124,43190,6,0,16,0
1,1480,0,0,35,35,426,39898,6,0,16,0
1,1452,0,0,35,35,312,48064,6,0,16,0
2,104,0,0,35,35,56204,443,6,0,16,0
1,291,0,0,35,35,53,42616,6,0,24,0
1,52,0,0,35,35,36544,443,6,0,16,0
1,68,0,0,35,35,7537,53171,17,0,0,0
1,52,0,0,35,35,111,45192,6,0,16,0
1,121,0,0,35,35,450,46342,6,0,24,0
2,1496,0,0,35,35,464,40090,6,0,24,0
1,52,0,0,35,35,39448,80,6,0,16,0
1,52,0,0,35,35,55322,443,6,0,16,0
1,52,0,0,35,35,44526,443,6,0,16,0
1,1452,0,0,35,35,289,44526,6,0,16,0
1,56,0,0,35,35,55220,10000,17,0,0,0
1,176,0,0,35,35,48606,443,6,0,24,0
2,3079,0,0,35,35,35,35584,6,0,24,0
1,298,0,0,35,35,275,57382,6,0,24,0
1,68,0,0,35,35,31281,60437,17,0,0,0
1,68,0,0,35,35,26682,54821,17,0,0,0
1,291,0,0,35,35,363,35904,6,0,24,0
1,1452,0,0,35,35,237,59860,6,0,24,0
1,1385,0,0,35,35,451,60344,17,0,0,0
1,52,0,0,35,35,267,33790,6,0,16,0
1,175,0,0,35,35,47314,443,6,0,24,0
1,148,0,0,35,35,52204,51055,17,0,0,0
1,1452,0,0,35,35,209,47588,6,0,24,0
1,152,0,0,35,35,73,42238,6,0,24,0
1,1452,0,0,35,35,444,56850,6,0,16,0
1,68,0,0,35,35,3041,60437,17,0,0,0
1,60,0,0,35,35,52109,443,17,0,0,0
1,753,0,0,35,35,74,36924,6,0,24,0
1,136,0,0,35,35,39745,51055,17,0,0,0
1,128,0,0,35,35,53171,10000,17,0,0,0
1,1385,0,0,35,35,120,51313,17,0,0,0
1,60,0,0,35,35,54032,80,6,0,2,0
1,1452,0,0,35,35,653,32914,6,0,16,0
1,68,0,0,35,35,31558,33350,17,0,0,0
1,68,0,0,35,35,50149,48547,17,0,0,0
1,92,0,0,35,35,46958,10000,17,0,0,0
1,284,0,0,35,35,327,59894,17,0,0,0
1,68,0,0,35,35,9962,36853,17,0,0,0
1,476,0,0,35,35,34340,80,6,0,24,0
1,68,0,0,35,35,4373,51043,17,0,0,0
1,68,0,0,35,35,25654,49649,17,0,0,0
1,1385,0,0,35,35,235,56150,17,0,0,0
1,68,0,0,35,35,52626,46318,17,0,0,0
