dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,28,611,638,63631,62673,17,0,0,1
1,28,611,638,63627,17171,17,0,0,1
1,28,611,638,63672,14930,17,0,0,1
1,28,611,638,63628,24406,17,0,0,1
1,28,611,638,63646,14930,17,0,0,1
1,28,675,595,63627,51616,17,0,0,1
1,28,675,595,63633,51616,17,0,0,1
1,28,611,638,63631,39939,17,0,0,1
1,28,611,638,63630,59667,17,0,0,1
1,28,611,638,63626,30898,17,0,0,1
1,28,611,638,63632,41717,17,0,0,1
1,28,675,595,63630,3731,17,0,0,1
1,28,611,638,63695,14930,17,0,0,1
1,28,611,638,63628,59248,17,0,0,1
1,28,611,638,63627,4512,17,0,0,1
1,28,611,638,63632,46510,17,0,0,1
1,28,611,638,63628,13998,17,0,0,1
1,28,611,638,63625,57762,17,0,0,1
1,28,675,595,63629,42631,17,0,0,1
1,28,675,595,63865,14930,17,0,0,1
1,28,675,595,63626,30034,17,0,0,1
1,28,675,595,63632,52919,17,0,0,1
1,28,611,638,63628,44804,17,0,0,1
1,28,611,638,63629,43504,17,0,0,1
1,28,611,638,63629,43064,17,0,0,1
1,28,611,638,63631,50778,17,0,0,1
1,28,611,638,63631,64580,17,0,0,1
1,28,675,595,63632,62521,17,0,0,1
1,28,611,638,63681,14930,17,0,0,1
1,28,611,638,63625,64563,17,0,0,1
1,28,611,638,63632,42021,17,0,0,1
1,28,611,638,63644,14930,17,0,0,1
1,28,611,638,63632,54635,17,0,0,1
1,28,611,638,63632,27637,17,0,0,1
1,28,675,595,63627,27637,17,0,0,1
1,28,611,638,63630,5461,17,0,0,1
1,28,611,638,63633,23897,17,0,0,1
1,28,611,638,63628,56250,17,0,0,1
1,28,611,638,63711,14930,17,0,0,1
1,28,611,638,63633,21064,17,0,0,1
1,28,675,595,63628,34076,17,0,0,1
1,28,675,595,63627,4290,17,0,0,1
1,28,611,638,63627,60631,17,0,0,1
1,28,611,638,63629,50858,17,0,0,1
1,28,675,595,63627,33371,17,0,0,1
1,28,611,638,63625,32314,17,0,0,1
1,28,675,595,63627,1621,17,0,0,1
1,28,611,638,63633,45190,17,0,0,1
1,28,675,595,63627,14070,17,0,0,1
1,28,611,638,63629,45286,17,0,0,1
1,28,611,638,63627,7462,17,0,0,1
1,28,611,638,63628,7462,17,0,0,1
