dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
1,1492,326,326,496,40250,6,0,16,0
1,1492,326,326,254,38600,6,0,16,0
1,52,326,326,38600,443,6,0,16,0
4,5968,326,326,379,38608,6,0,16,0
3,156,326,326,38608,443,6,0,16,0
1,1492,326,326,363,38624,6,0,16,0
2,1522,326,326,202,45006,6,0,16,0
1,52,326,326,45018,443,6,0,16,0
1,52,326,326,57874,443,6,0,16,0
2,104,326,326,45006,443,6,0,16,0
1,116,326,326,44450,443,6,0,24,0
1,376,338,338,132,33210,6,0,24,0
1,52,338,338,33270,443,6,0,16,0
1,52,338,338,42780,443,6,0,16,0
4,5968,338,338,438,42804,6,0,16,0
3,156,338,338,42804,443,6,0,16,0
1,60,338,338,42136,443,6,0,2,0
1,1492,338,338,424,38792,6,0,16,0
1,569,338,338,52650,443,6,0,24,0
1,52,338,338,42150,443,6,0,16,0
1,569,338,338,53194,443,6,0,24,0
2,104,338,338,47794,443,6,0,16,0
5,7460,338,338,182,47794,6,0,16,0
2,104,338,338,50246,443,6,0,16,0
1,222,338,338,248,38894,6,0,24,0
1,1492,338,338,66,32924,6,0,16,0
4,208,338,338,50276,443,6,0,16,0
4,5968,338,338,60,50276,6,0,16,0
1,1470,338,338,106,41868,6,0,16,0
1,60,338,338,443,48650,6,0,18,0
1,1470,338,338,139,48650,6,0,16,0
3,1574,338,338,252,49994,6,0,16,0
1,1470,338,338,81,54726,6,0,16,0
1,91,338,338,480,36464,6,0,24,0
1,52,338,338,52438,443,6,0,16,0
1,60,338,338,443,59878,6,0,18,0
2,104,338,338,54726,443,6,0,16,0
1,569,338,338,39200,443,6,0,24,0
1,1470,338,338,308,52760,6,0,16,0
4,4462,338,338,356,52710,6,0,16,0
1,52,338,338,51732,80,6,0,16,0
1,40,338,338,41996,443,6,0,16,0
1,1492,338,338,333,41996,6,0,16,0
1,1492,338,338,237,39638,6,0,16,0
1,1492,338,338,105,57828,6,0,16,0
1,52,338,338,57822,80,6,0,16,0
2,104,338,338,57828,80,6,0,16,0
3,4476,338,338,264,57826,6,0,16,0
3,156,338,338,57824,80,6,0,16,0
1,52,338,338,57832,80,6,0,16,0
1,52,338,338,57830,80,6,0,16,0
2,2984,338,338,369,57824,6,0,16,0
4,5968,338,338,462,57822,6,0,16,0
1,52,338,338,41462,443,6,0,16,0
1,52,338,338,49420,443,6,0,16,0
1,569,338,338,54610,443,6,0,24,0
1,52,338,338,49414,443,6,0,16,0
1,178,338,338,54616,443,6,0,24,0
1,52,338,338,54614,443,6,0,17,0
1,52,338,338,43738,443,6,0,16,0
2,104,338,338,45348,80,6,0,16,0
1,569,338,338,36240,443,6,0,24,0
1,52,338,338,45518,443,6,0,16,0
2,1544,338,338,205,41514,6,0,16,0
2,2984,338,338,156,57830,6,0,16,0
3,156,338,338,52710,443,6,0,16,0
3,4542,338,338,307,49414,6,0,24,0
1,52,338,338,42574,443,6,0,16,0
1,1492,338,338,384,41544,6,0,16,0
2,104,338,338,36620,443,6,0,16,0
1,1492,338,338,377,41258,6,0,16,0
1,52,338,338,41546,443,6,0,16,0
1,52,338,338,40,49978,6,0,16,0
1,52,338,338,33,37066,6,0,16,0
1,478,338,338,60246,443,6,0,24,0
